CAC40,Nikkei225
3169.629883,9611.669922
3165.48999,9327.530273
3279.209961,9863.469727
3328.98999,10281.16992
3311.419922,10343.54981
3392.75,10650.76953
3322.560059,10712.80957
3373.639893,10938.41992
3216.76001,10318.44043
3296.360107,10709.29004
3306.120117,10786.04004
3353.719971,11037.88965
3266.27002,10335.7002
3373.199951,10559.58984
3453.129883,10628.98047
3448.600098,10167.05957
3366.120117,9852.830078
3424.790039,10100.57031
3457.139893,10373.45996
3470.600098,10169.66016
3502.040039,10284.54004
3510.300049,10417.41016
3596.800049,10676.63965
3574.800049,10965.04981
3671.800049,10857.2002
3693.360107,11069.00977
3638.439941,10783.61035
3624.719971,10460.91992
3649.340088,10557.69043
3733.280029,10720.69043
3725.439941,11041.91992
3761.110107,11537.29004
3661.780029,11162.75
3613.280029,11418.50977
3592.389893,11770.65039
3739.909912,11815.9502
3740.110107,11897.50977
3751.590088,11824.55957
3811.429932,12120.66016
3674.280029,11761.79004
3653.179932,11438.82031
3603.26001,10849.62988
3607.02002,11070.25
3652.030029,11309.57031
3698.870117,11128.04981
3699.379883,11526.82031
3740.899902,11382.08008
3742.379883,11780.40039
3685.060059,11721.49023
3668.47998,11423.53027
3610.399902,11436
3567.290039,11187.33008
3647.100098,11325.78027
3528.639893,10972.57031
3484.840088,10757.2002
3538.02002,10889.13965
3649.23999,11209.58984
3665.939941,11022.49023
3677.610107,11083.23047
3726.219971,11082.49023
3673.51001,10895.16016
3730.159912,10985.16992
3737.870117,11349.34961
3670.76001,10982.9502
3687.169922,10857.12988
3706.820068,10771.41992
3780.98999,11061.76953
3835.110107,11019.98047
3798.780029,11082.83984
3782.199951,10833.75
3783.51001,11074.88965
3768.419922,10756.79981
3744.919922,11078.32031
3822.76001,11365.48047
3821.159912,11488.75977
3877.959961,11433.24023
3854.600098,11438.38965
3854.189941,11238.37012
3870.350098,11320.58008
3958.01001,11360.40039
4016.75,11553.55957
4029.02002,11660.12012
4034.570068,11658.25
4091.580078,11873.04981
4049.179932,11923.88965
4050.77002,11879.80957
4078.310059,11761.09961
4080.080078,11723.62988
4124.290039,11874.75
4032.280029,11370.69043
3980.179932,11045.9502
